Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas"
DLR,Digital Realty Trust,Real Estate,Specialized REITs,"Austin, Texas"
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois"
DISCA,Discovery (Series A),Communication Services,Broadcasting,"New York City, New York"
DISCK,Discovery (Series C),Communication Services,Broadcasting,"New York City, New York"
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado"
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia"
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia"
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan"
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois"
DOW,Dow,Materials,Commodity Chemicals,"Midland, Michigan"
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan"
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina"
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana"
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware"
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia"
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California"
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota"
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California"
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
ENPH,Enphase Energy,Information Technology,Electronic Components,"Fremont, California"
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California"
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois"
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California"
EL,Estee Lauder Companies,Consumer Staples,Personal Products,"New York City, New York"
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York"
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri"
ES,Eversource Energy,Utilities,Multi-Utilities,"Hartford, Connecticut"
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda"
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois"
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington"
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington"
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah"
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas"
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington"
FB,Facebook,Communication Services,Interactive Media & Services,"Menlo Park, California"
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland"
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio"
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio"
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California"
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin"
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia"
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
F,Ford,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California"
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington"
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois"
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York"
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York"
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona"
GPS,Gap,Consumer Discretionary,Apparel Retail,"San Francisco, California"
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts"
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas"
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia"
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York"
GWW,W. W. Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois"
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
HBI,Hanesbrands,Consumer Discretionary,Apparel Accessories & Luxury Goods,"Winston-Salem, North Carolina"
HIG,The Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee"
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California"
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York"
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York"
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals,"Houston, Texas"
HLT,Hilton Worldwide,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Tysons Corner, Virginia"
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina"
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HPQ,HP,Information Technology,Technology Hardware Storage & Peripherals,"Palo Alto, California"
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia"
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois"
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine"
INFO,IHS Markit,Industrials,Research & Consulting Services,"London, England"
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois"
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California"
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin"
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia"
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York"
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee"
IPG,Interpublic Group,Communication Services,Advertising,"New York City, New York"
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York"
INTU,Intuit,Information Technology,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts"
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts"
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri"
J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas"
JBHT,J. B. Hunt,Industrials,Trucking,"Lowell, Arkansas"
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York"
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California"
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri"
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California"
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio"
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida"
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California"
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho"
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri"
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia"
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida"
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals,"Indianapolis, Indiana"
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania"
LIN,Linde,Materials,Industrial Gases,"Guildford, England"
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California"
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois"
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York"
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina"
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana"
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York"
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York"
MAR,Marriott International,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Bethesda, Maryland"
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York City, New York"
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina"
MAS,Masco,Industrials,Building Products,"Livonia, Michigan"
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York"
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas"
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland"
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas"
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland"
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey"
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York"
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio"
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho"
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington"
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee"
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts"
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia"
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington"
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California"
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York"
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York"
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida"
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois"
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York"
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York City, New York"
NTAP,NetApp,Information Technology,Technology Hardware Storage & Peripherals,"Sunnyvale, California"
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California"
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia"
NEM,Newmont,Materials,Gold,"Denver, Colorado"
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York"
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York"
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida"
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York City, New York"
NKE,Nike,Consumer Discretionary,Apparel Accessories & Luxury Goods,"Washington County, Oregon"
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana"
NSC,Norfolk Southern,Industrials,Railroads,"Norfolk, Virginia"
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas"
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina"
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California"
NVR,NVR,Consumer Discretionary,Homebuilding,"Reston, Virginia"
NXPI,NXP,Information Technology,Semiconductors,"Eindhoven, Netherlands"
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri"
